age;tl;wt;sex;local;localsex
10;45.2;1485;F;CE;FCE
10;44.8;1240;M;CE;MCE
10;44.4;1372;F;CE;FCE
10;43.1;1332;F;CE;FCE
10;43.0;1090;M;CE;MCE
10;42.6;1210;F;CE;FCE
10;42.3;1280;M;CE;MCE
10;41.9;1085;M;CE;MCE
10;40.2;1105;F;CE;FCE
10;43.8;1370;M;CE;MCE
10;43.5;1245;M;CE;MCE
10;43.5;1250;M;BA;MBA
10;43.5;1220;M;BA;MBA
11;47.5;1575;M;CE;MCE
11;47.4;1608;M;CE;MCE
11;42.2;1010;F;CE;FCE
11;49.6;1686;M;CE;MCE
11;46.9;1490;M;CE;MCE
11;46.1;1395;F;CE;FCE
11;45.0;1310;F;CE;FCE
11;45.0;1362;F;CE;FCE
11;43.3;1385;F;CE;FCE
11;42.8;1245;F;CE;FCE
11;40.9;1035;F;CE;FCE
11;40.1;875;F;CE;FCE
11;41.1;1110;F;BA;FBA
11;47.7;1680;M;BA;MBA
11;40.9;1050;M;CE;MCE
11;44.2;1420;M;BA;MBA
11;45.6;1440;M;CE;MCE
11;44.8;1295;F;CE;FCE
11;42.6;1065;M;CE;MCE
11;42.4;1200;F;CE;FCE
12;47.3;1670;M;CE;MCE
12;47.4;1454;F;CE;FCE
12;50.2;1595;F;CE;FCE
12;49.5;1795;F;CE;FCE
12;47.8;1564;M;CE;MCE
12;44.9;1480;F;CE;FCE
12;44.4;1340;M;CE;MCE
12;44.0;1298;M;CE;MCE
12;43.0;1160;M;CE;MCE
12;44.5;1520;M;BA;MBA
12;46.3;;F;BA;FBA
12;45.5;1410;M;BA;MBA
12;45.3;1450;M;BA;MBA
12;45.1;1500;F;BA;FBA
12;45.8;1570;M;CE;MCE
14;49.9;1398;F;CE;FCE
13;48.8;1730;M;CE;MCE
13;48.8;1730;M;CE;MCE
15;49.4;1940;M;BA;MBA
13;42.3;1260;M;CE;MCE
14;48.8;1300;M;CE;MCE
14;48.8;1800;M;CE;MCE
13;47.4;1590;F;CE;FCE
13;46.6;1545;M;CE;MCE
13;46.3;1605;F;CE;FCE
13;45.3;1425;F;CE;FCE
13;44.8;1360;M;CE;MCE
13;44.4;1375;F;CE;FCE
13;44.3;1866;F;CE;FCE
13;44.0;1495;M;CE;MCE
13;43.2;1150;F;CE;FCE
13;42.6;1480;F;CE;FCE
13;48.7;1740;M;BA;MBA
13;42.6;1235;M;CE;MCE
13;48.8;1160;M;BA;MBA
14;49.2;1895;M;CE;MCE
17;52.3;1915;F;CE;FCE
17;50.2;2232;F;CE;FCE
14;48.9;1600;F;CE;FCE
14;44.9;1410;M;CE;MCE
14;44.8;1350;M;CE;MCE
14;44.7;1296;M;CE;MCE
14;44.1;1332;F;CE;FCE
14;43.0;1206;F;CE;FCE
16;49.0;1760;F;BA;FBA
14;44.1;1435;F;CE;FCE
14;43.0;1180;M;CE;MCE
15;51.2;2027;F;CE;FCE
15;50.8;1910;F;CE;FCE
15;48.7;1650;F;CE;FCE
15;48.3;1710;M;CE;MCE
15;48.3;1530;F;CE;FCE
15;47.6;1630;M;CE;MCE
15;47.1;1406;M;CE;MCE
15;47.0;1565;M;CE;MCE
15;46.3;1470;F;CE;FCE
15;46.2;1415;M;CE;MCE
15;46.1;1695;F;CE;FCE
15;46.0;1570;F;CE;FCE
15;45.8;1420;F;CE;FCE
18;56.2;1660;M;CE;MCE
16;52.4;2238;M;CE;MCE
16;53.6;2160;F;BA;FBA
16;49.7;1782;F;CE;FCE
16;48.8;1720;M;CE;MCE
14;46.5;1510;M;CE;MCE
16;51.5;1890;F;BA;FBA
14;48.0;1470;F;CE;FCE
17;55.3;1186;F;CE;FCE
17;53.4;2110;F;BA;FBA
